Config_21,Config_130,Config_63,Config_105,Config_152,Unnamed: 5,Metric,Value (seconds)
0.0032201,0.0047846,0.0056662,0.0063393,0.0067571,,,
0.0031049,0.0093598,0.0276139,0.0689751,0.2235011,,,
0.0036507,0.0060271,0.0069237,0.0076375,0.0062534,,,
0.0034879,0.0068791,0.006819,0.0078169,0.0063416,,,
0.0032898,0.0052382,0.0074247,0.0054728,0.0063167,,,
0.0032609,0.006183,0.0071141,0.0092787,0.0063346,,,
0.0034351,0.0048528,0.0053544,0.0071091,0.0058792,,,
0.0033766,0.0063379,0.0131275,0.0058289,0.006358,,,
0.0034244,0.0062564,0.0052791,0.0167367,0.0406911,,,
0.0033788,0.0067996,0.0057952,0.0051183,0.0064743,,,
0.0032076,0.0049695,0.0047187,0.0062548,0.0061082,,,
0.0033206,0.0069464,0.0082518,0.0550881,0.3333576,,,
0.003335,0.0116979,0.0071021,0.0067544,0.0067464,,,
0.0033247,0.0202108,0.008796,0.0391776,0.1773912,,,
0.0032269,0.0049749,0.0055394,0.0062927,0.0059088,,,
0.0031745,0.0053347,0.0057329,0.0051705,0.0060976,,,
0.0033907,0.0087219,0.0107089,0.0223898,0.0693339,,,
0.0033774,0.0045316,0.0096005,0.0053905,0.0065984,,,
0.0031914,0.0058291,0.0087791,0.0187176,0.0181276,,,
0.0036815,0.0052622,0.005246,0.0067854,0.0063761,,,
0.0031983,0.0064793,0.0080884,0.0172353,0.0063225,,,
0.0032199,0.0049141,0.0054974,0.0069052,0.0059962,,,
0.0033226,0.0085757,0.0049318,0.0067277,0.0057462,,,
0.0033273,0.0061459,0.0079415,0.006753,0.0064714,,,
0.0032381,0.0066283,0.0056455,0.0053944,0.0070557,,,
0.0034347,0.0066029,0.0147563,0.0085457,0.132,,,
0.0030513,0.0099112,0.0087157,0.0150213,0.0178295,,,
0.0033544,0.0056088,0.0066014,0.0071438,0.0066898,,,
0.0032745,0.004976,0.0061319,0.0068499,0.005988,,,
0.0031674,0.0114567,0.0100971,0.0114902,0.0251855,,,
0.0041319,0.0064456,0.0092816,0.0074095,0.0584716,,,
0.0034859,0.005309,0.007908,0.0052603,0.0059723,,,
0.0031667,0.0061255,0.0062388,0.0068559,0.0062943,,,
0.0035484,0.0058591,0.0054877,0.007163,0.0075899,,,
0.0031995,0.0073897,0.0069537,0.02366,0.0832104,,,
0.0033699,0.0051497,0.0079591,0.0113444,0.0068371,,,
0.00315,0.0049304,0.0058836,0.0063598,0.0059439,,,
0.0032988,0.006586,0.0074473,0.0065062,0.0205418,,,
0.0039567,0.004777,0.0059237,0.0055996,0.0065025,,,
0.0033393,0.0049378,0.0075989,0.0069727,0.0075549,,,
0.0031665,0.0048799,0.0066,0.0083861,0.007586,,,
0.0031246,0.0176497,0.0142027,0.00785,0.0212334,,,
0.003418,0.0049057,0.0055668,0.0064703,0.0058432,,,
0.0032268,0.0048888,0.0065252,0.006358,0.0064875,,,
0.0035928,0.0066745,0.0055389,0.0051599,0.0070274,,,
0.0036714,0.0067003,0.0054537,0.0053371,0.0062512,,,
0.0032016,0.0051625,0.0066908,0.0056559,0.00659,,,
0.0035895,0.0063896,0.0228192,0.0246439,0.0523648,,,
0.0030402,0.0063647,0.0238051,0.0350042,0.0181505,,,
0.0035239,0.005265,0.0053794,0.0052354,0.005996,,,
0.0033284,0.0060047,0.0088539,0.0116409,0.075036,,,
0.0031181,0.0083488,0.0067319,0.0065843,0.0062396,,,
0.0033238,0.0054846,0.0073471,0.0064936,0.0062405,,,
0.0032629,0.0059425,0.0061041,0.0072489,0.0059954,,,
0.0032376,0.0049318,0.0059915,0.006876,0.0064347,,,
0.0032229,0.0062776,0.0057738,0.0052931,0.0068603,,,
0.0037046,0.0114316,0.0095167,0.0069521,0.0192678,,,
0.0031858,0.0047403,0.0056907,0.0056296,0.0063779,,,
0.0034149,0.0046962,0.0074022,0.0047769,0.0062514,,,
0.00307,0.0055195,0.0063802,0.0088298,0.0057706,,,
0.0047576,0.0050333,0.0057988,0.0071846,0.0064795,,,
0.0032469,0.0063758,0.0071583,0.0068055,0.0199462,,,
0.0030606,0.0047751,0.0114891,0.0054002,0.0288293,,,
0.0033982,0.0063796,0.0207919,0.0088254,0.0599879,,,
0.0036336,0.0059137,0.005216,0.0085631,0.1407211,,,
0.0030529,0.0124992,0.0089985,0.0054692,0.0061661,,,
0.0034658,0.0147073,0.0313123,0.0137282,0.0058859,,,
