f1,f2,f3,f4,a1,a2,a3,a4,Kaibel Column (Configuration 21),Agrawal Column (Configuration 130),Configuration 63 (ABC Absent),Configuration 105 (BCD Absent),Sargent Column (Configuration 152)
10,20,25,45,15.625,6.25,2.5,1,119.79256603793743,102.27199840018201,105.0618159631253,97.36316816250545,97.36316817907866
10,20,30,40,15.625,6.25,2.5,1,129.75558638355332,109.33425624555562,112.75346120888963,103.92404637450505,103.92404639108676
10,20,35,35,15.625,6.25,2.5,1,139.43488280471618,116.1226100881988,120.1889354709669,110.25502754993866,110.25502756646208
10,20,40,30,15.625,6.25,2.5,1,148.90092610901854,122.6991115443409,127.42876507745939,116.41043018817734,116.41043020477323
10,20,45,25,15.625,6.25,2.5,1,158.20145521367866,129.1063306764841,134.51421059059044,122.4272829991059,122.42728301571134
10,20,50,20,15.625,6.25,2.5,1,167.37033868858023,135.37489099430087,141.474751284004,128.33204174106228,128.33204175767943
10,20,55,15,15.625,6.25,2.5,1,176.43246960404824,141.5276408983646,148.33222291032118,134.14430260227917,134.14430261890124
10,20,60,10,15.625,6.25,2.5,1,185.40666296937894,147.58212911526095,155.1032694300539,139.8790024704111,139.87900248704202
10,20,65,5,15.625,6.25,2.5,1,194.30746605089385,153.55215574412142,161.80087662365358,145.54779525098505,145.54779526762786
10,25,5,60,15.625,6.25,2.5,1,80.5111345954488,70.30958473713409,70.75564027576732,74.10891549212653,67.60121563912621
10,25,10,55,15.625,6.25,2.5,1,91.05299674390827,81.06135330060849,81.99325426273265,77.34437347411014,77.34437349068719
10,25,15,50,15.625,6.25,2.5,1,103.23841451802747,90.0929860870236,91.54040599693508,85.57044981351618,85.57044983335183
10,25,20,45,15.625,6.25,2.5,1,114.42320491842176,98.2456550716629,100.23372788218083,93.03026860347921,93.0302686192608
10,25,25,40,15.625,6.25,2.5,1,124.99415393472242,105.84707218761736,108.39795160689596,100.01525570604085,100.01525572263301
